,Words,Count
0,im,8
1,food,2
2,snob,1
3,comes,1
4,soup,29
5,stuff,1
6,lovely,2
7,price,4
8,ease,1
9,prep,2
11,absolutley,1
12,fantastic,2
13,like,8
14,homemade,4
16,without,1
18,work,2
19,love,10
20,would,4
21,never,2
22,know,2
23,store,4
24,bought,2
25,excellent,2
26,quality,1
27,taste,11
28,fresh,1
29,go,2
30,comfort,1
31,snack,1
32,rainy,2
33,day,2
36,restaurant,8
38,sub,1
39,sandwiches,1
40,pair,1
41,broccoli,10
43,potato,1
45,pigged,1
46,soups,3
47,meal,2
48,theirselves,1
49,one,5
50,bowl,2
51,enough,1
53,hungry,2
54,person,1
55,2,5
56,people,1
57,eating,3
58,sandwich,1
59,salad,1
60,almost,3
61,good,8
62,going,1
64,better,1
65,shelf,1
66,brand,1
68,plus,1
69,size,1
70,cutie,1
72,foodtrust,1
73,absolutely,1
75,dont,3
76,send,1
77,unopen,1
78,cups,1
81,fills,1
83,overweight,1
86,5â,1
87,11â,1
88,145lbs,1
90,really,7
91,hits,1
92,spot,1
93,super,1
94,filling,2
95,alone,1
98,surprised,1
99,since,2
102,whopper,1
103,fries,1
105,cookies,1
106,single,1
107,sitting,1
110,easy,1
111,heat,1
114,perfect,1
115,chilly,1
117,days,1
118,ate,2
119,today,1
120,sick,1
121,cold,1
122,soothed,1
123,sore,1
124,throat,1
126,16oz,1
130,craving,1
131,soupthis,1
132,kind,1
133,id,1
134,buy,3
135,didnt,2
136,make,3
137,definitely,2
138,recommend,2
140,awesome,1
141,money,2
142,well,2
143,spent,1
144,creamy,1
147,cheddar,4
148,cheese,3
149,n,1
150,carrots,1
151,delicious,6
155,version,3
156,yum,1
157,look,1
158,bugs,1
159,youd,1
160,think,1
161,came,1
167,little,1
168,hard,1
169,amazing,1
172,get,6
174,former,1
175,panera,5
176,worker,1
178,say,1
180,chunks,1
181,arent,1
182,big,2
183,thats,1
184,difference,1
186,throw,1
188,4,1
189,heaping,1
193,ill,2
194,probably,1
195,start,1
197,weekly,1
200,much,6
201,cheaper,2
202,ordering,1
203,resturant,1
206,kept,1
207,saying,1
208,omg,1
210,heaven,1
212,worth,2
215,understand,1
216,cannot,1
217,order,2
218,line,1
219,grocery,1
220,pick,1
222,trick,1
223,purchased,1
224,family,1
225,member,2
226,fun,1
227,fact,1
229,buzz,1
230,cut,1
231,dark,1
232,hair,4
235,longer,2
236,called,1
237,see,1
238,something,1
241,got,2
242,end,1
243,found,1
247,different,1
248,color,1
249,first,2
251,open,1
253,purchase,2
254,excited,2
256,five,1
257,dollar,1
260,coupons,1
261,canâ,1
262,wait,1
264,thanks,1
265,walmart,1
270,picky,1
271,flavor,3
273,tad,1
274,expensive,1
276,satisfying,1
277,even,3
278,close,2
281,whole,2
282,lot,1
283,watery,1
284,salty,1
286,favourite,1
293,best,3
295,please,1
296,continue,1
297,stock,1
298,product,2
300,wasnt,2
301,sure,3
302,liked,1
305,lighter,1
306,traditional,1
310,couldnt,1
311,stop,1
316,leave,2
317,heavy,1
318,goopy,1
319,feeling,1
326,guilty,3
329,pleasure,1
330,tastes,2
332,next,1
333,time,4
335,add,1
337,stretch,1
338,theres,1
339,way,1
341,fat,1
342,eat,2
344,thing,2
345,tide,1
348,long,1
350,afterward,1
351,quite,1
352,tasty,2
353,hurry,1
355,youre,1
356,lazy,1
360,pretty,2
362,every,2
364,existence,1
365,omgggg,1
366,amazingi,1
367,added,1
369,adobo,1
370,seasoning,1
371,kids,2
372,loved,1
373,portions,1
374,generous,1
375,split,1
379,adults,1
380,also,1
381,starter,1
383,12g,1
384,sugar,2
386,diabetic,1
388,list,1
389,container,1
390,6g,1
393,servings,2
397,gimmie,1
398,breakoverall,1
399,great,2
401,texture,1
407,thick,3
410,enjoyed,1
413,plenty,1
418,buying,2
419,siempre,1
420,deliciosa,1
423,yummy,1
431,stocks,1
435,shared,1
436,coworkers,1
439,def,1
442,exactly,1
448,weird,1
449,chemical,1
452,mac,1
454,maybe,1
455,many,1
456,preservatives,1
459,heated,1
462,products,1
463,anyway,1
464,nothing,1
468,thought,1
470,fit,1
471,bill,1
472,quick,1
473,lunches,1
474,remote,1
475,schooling,1
477,prepared,1
479,cheedars,1
480,okay,1
486,find,1
487,alternative,1
489,home,1
490,sadly,1
491,disappointed,1
494,wrong,1
496,mediocre,1
507,save,1
512,pieces,1
514,stick,1
518,sad,1
520,wanted,1
